trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
AK-01,12:00:00,12:00:00,kb-gedong-sawah,0,,,,,0
AK-01,12:01:00,12:01:00,kb-polisi-militer,1,,,,,0
AK-01,12:02:00,12:02:00,kb-jalak-harupat,2,,,,,0
AK-01,12:03:00,12:03:00,kb-sempur,3,,,,,0
AK-01,12:04:00,12:04:00,kb-salak,4,,,,,0
AK-01,12:05:00,12:05:00,kb-pangrango,5,,,,,0
AK-01,12:06:00,12:06:00,kb-astrid,6,,,,,0
AK-01,12:07:00,12:07:00,kb-botani-1,7,,,,,0
AK-01,12:08:00,12:08:00,kb-botani-2,8,,,,,0
AK-01,12:09:00,12:09:00,kb-otista,9,,,,,0
AK-01,12:10:00,12:10:00,kb-suryakencana,10,,,,,0
AK-01,12:11:00,12:11:00,suryakencana-1,11,,,,,0
AK-01,12:12:00,12:12:00,suryakencana-2,12,,,,,0
AK-01,12:13:00,12:13:00,siliwangi-1,13,,,,,0
AK-01,12:14:00,12:14:00,siliwangi-2,14,,,,,0
AK-01,12:15:00,12:15:00,siliwangi-lawanggintung,15,,,,,0
AK-01,12:16:00,12:16:00,lawanggintung-1,16,,,,,0
AK-01,12:17:00,12:17:00,lawanggintung-2,17,,,,,0
AK-01,12:18:00,12:18:00,lawanggintung-3,18,,,,,0
AK-01,12:19:00,12:19:00,lawanggintung-4,19,,,,,0
AK-01,12:20:00,12:20:00,lawanggintung-5,20,,,,,0
AK-01,12:21:00,12:21:00,lawanggintung-cipaku,21,,,,,0
AK-01,12:22:00,12:22:00,cipaku-1,22,,,,,0
AK-01,12:23:00,12:23:00,cipaku-2,23,,,,,0
AK-01,12:24:00,12:24:00,cipaku-3,24,,,,,0
AK-01,12:25:00,12:25:00,cipaku-4,25,,,,,0
AK-01,12:26:00,12:26:00,cipaku-danasasmita,26,,,,,0
AK-01,12:27:00,12:27:00,danasasmita-1,27,,,,,0
AK-01,12:28:00,12:28:00,danasasmita-diredja,28,,,,,0
AK-01,12:29:00,12:29:00,diredja-1,29,,,,,0
AK-01,12:30:00,12:30:00,diredja-2,30,,,,,0
AK-01,12:31:00,12:31:00,diredja-3,31,,,,,0
AK-01,12:32:00,12:32:00,diredja-cipinanggading,32,,,,,0
AK-01,12:33:00,12:33:00,cipinanggading-1,33,,,,,0
AK-01,12:34:00,12:34:00,cipinanggading-2,34,,,,,0
AK-01,12:35:00,12:35:00,cipinanggading-ranggamekar,35,,,,,0
AK-01,12:36:00,12:36:00,ranggamekar-1,36,,,,,0
AK-01,12:37:00,12:37:00,ranggamekar-2,37,,,,,0
AK-01,12:38:00,12:38:00,ranggamekar-1,38,,,,,0
AK-01,12:39:00,12:39:00,cipinanggading-ranggamekar,39,,,,,0
AK-01,12:40:00,12:40:00,cipinanggading-nirwana,40,,,,,0
AK-01,12:41:00,12:41:00,nirwana-1,41,,,,,0
AK-01,12:42:00,12:42:00,nirwana-2,42,,,,,0
AK-01,12:43:00,12:43:00,nirwana-3,43,,,,,0
AK-01,12:44:00,12:44:00,nirwana-4,44,,,,,0
AK-01,12:45:00,12:45:00,nirwana-5,45,,,,,0
AK-01,12:46:00,12:46:00,nirwana-6,46,,,,,0
AK-01,12:47:00,12:47:00,nirwana-dreded,47,,,,,0
AK-01,12:48:00,12:48:00,dreded-1,48,,,,,0
AK-01,12:49:00,12:49:00,dreded-pahlawan,49,,,,,0
AK-01,12:50:00,12:50:00,pahlawan-ggaut,50,,,,,0
AK-01,12:51:00,12:51:00,pahlawan-3,51,,,,,0
AK-01,12:52:00,12:52:00,pahlawan-4,52,,,,,0
AK-01,12:53:00,12:53:00,pahlawan-empang,53,,,,,0
AK-01,12:54:00,12:54:00,halte-empang,54,,,,,0
AK-01,12:55:00,12:55:00,btm-3,55,,,,,0
AK-01,12:56:00,12:56:00,kb-btm-2,56,,,,,0
AK-01,12:57:00,12:57:00,kb-btm-2,57,,,,,0
AK-01,12:58:00,12:58:00,kb-muslihat,58,,,,,0
AK-01,12:59:00,12:59:00,stasiun-paledang,59,,,,,0
AK-01,12:60:00,12:60:00,veteran-merdeka,60,,,,,0
AK-01,12:61:00,12:61:00,veteran-kemerdekaan,61,,,,,0
AK-01,12:62:00,12:62:00,kemerdekaan,62,,,,,0
AK-01,12:63:00,12:63:00,merdeka,63,,,,,0
AK-01,12:64:00,12:64:00,merdeka-salamun,64,,,,,0
AK-01,12:65:00,12:65:00,salamun-oking,65,,,,,0
AK-01,12:66:00,12:66:00,muslihat-oking,66,,,,,0
AK-01,12:67:00,12:67:00,muslihat-dewisartika,67,,,,,0
AK-01,12:68:00,12:68:00,dewisartika-mekah,68,,,,,0
AK-01,12:69:00,12:69:00,mekah-gedongsawah,69,,,,,0
AK-01,12:70:00,12:70:00,gedongsawah-1,70,,,,,0
AK-01,12:71:00,12:71:00,gedongsawah-crossing,71,,,,,0
AK-02,12:00:00,12:00:00,kb-muslihat,0,,,,,0
AK-02,12:01:00,12:01:00,stasiun-paledang,1,,,,,0
AK-02,12:02:00,12:02:00,veteran-merdeka,2,,,,,0
AK-02,12:03:00,12:03:00,veteran-kemerdekaan,3,,,,,0
AK-02,12:04:00,12:04:00,veteran,4,,,,,0
AK-02,12:05:00,12:05:00,veteran-gnbatu,5,,,,,0
AK-02,12:06:00,12:06:00,gnbatu-1,6,,,,,0
AK-02,12:07:00,12:07:00,gnbatu-2,7,,,,,0
AK-02,12:08:00,12:08:00,abdullah-batu,8,,,,,0
AK-02,12:09:00,12:09:00,sind-barang-1,9,,,,,0
AK-02,12:10:00,12:10:00,sind-barang-2,10,,,,,0
AK-02,12:11:00,12:11:00,sind-barang-darulquran,11,,,,,0
AK-02,12:12:00,12:12:00,sind-barang-3,12,,,,,0
AK-02,12:13:00,12:13:00,sind-barang-4,13,,,,,0
AK-02,12:14:00,12:14:00,sind-barang-adjie,14,,,,,0
AK-02,12:15:00,12:15:00,adjie-ciampea,15,,,,,0
AK-02,12:16:00,12:16:00,bubulak,16,,,,,0
AK-02,12:17:00,12:17:00,adjie-ciampea,17,,,,,0
AK-02,12:18:00,12:18:00,sind-barang-adjie,18,,,,,0
AK-02,12:19:00,12:19:00,sind-barang-4,19,,,,,0
AK-02,12:20:00,12:20:00,sind-barang-3,20,,,,,0
AK-02,12:21:00,12:21:00,sind-barang-darulquran,21,,,,,0
AK-02,12:22:00,12:22:00,sind-barang-2,22,,,,,0
AK-02,12:23:00,12:23:00,sind-barang-1,23,,,,,0
AK-02,12:24:00,12:24:00,abdullah-batu,24,,,,,0
AK-02,12:25:00,12:25:00,gnbatu-2,25,,,,,0
AK-02,12:26:00,12:26:00,gnbatu-1,26,,,,,0
AK-02,12:27:00,12:27:00,veteran-gnbatu,27,,,,,0
AK-02,12:28:00,12:28:00,veteran,28,,,,,0
AK-02,12:29:00,12:29:00,veteran-kemerdekaan,29,,,,,0
AK-02,12:30:00,12:30:00,kemerdekaan,30,,,,,0
AK-02,12:31:00,12:31:00,merdeka,31,,,,,0
AK-02,12:32:00,12:32:00,veteran-merdeka,32,,,,,0
AK-02,12:33:00,12:33:00,stasiun-paledang,33,,,,,0
AK-02,12:34:00,12:34:00,kb-muslihat,34,,,,,0
AK-02,12:35:00,12:35:00,kb-gedong-sawah,35,,,,,0
AK-02,12:36:00,12:36:00,kb-polisi-militer,36,,,,,0
AK-02,12:37:00,12:37:00,kb-jalak-harupat,37,,,,,0
AK-02,12:38:00,12:38:00,kb-sempur,38,,,,,0
AK-02,12:39:00,12:39:00,kb-salak,39,,,,,0
AK-02,12:40:00,12:40:00,kb-pangrango,40,,,,,0
AK-02,12:41:00,12:41:00,kb-astrid,41,,,,,0
AK-02,12:42:00,12:42:00,kb-botani-1,42,,,,,0
AK-02,12:43:00,12:43:00,kb-botani-2,43,,,,,0
AK-02,12:44:00,12:44:00,kb-otista,44,,,,,0
AK-02,12:45:00,12:45:00,kb-suryakencana,45,,,,,0
AK-02,12:46:00,12:46:00,suryakencana-1,46,,,,,0
AK-02,12:47:00,12:47:00,suryakencana-2,47,,,,,0
AK-02,12:48:00,12:48:00,siliwangi-1,48,,,,,0
AK-02,12:49:00,12:49:00,siliwangi-2,49,,,,,0
AK-02,12:50:00,12:50:00,siliwangi-lawanggintung,50,,,,,0
AK-02,12:51:00,12:51:00,lawanggintung-1,51,,,,,0
AK-02,12:52:00,12:52:00,lawanggintung-2,52,,,,,0
AK-02,12:53:00,12:53:00,lawanggintung-3,53,,,,,0
AK-02,12:54:00,12:54:00,lawanggintung-4,54,,,,,0
AK-02,12:55:00,12:55:00,lawanggintung-5,55,,,,,0
AK-02,12:56:00,12:56:00,batutulis-1,56,,,,,0
AK-02,12:57:00,12:57:00,batutulis-2,57,,,,,0
AK-02,12:58:00,12:58:00,batutulis-3,58,,,,,0
AK-02,12:59:00,12:59:00,batutulis-pahlawan,59,,,,,0
AK-02,12:60:00,12:60:00,pahlawan-1,60,,,,,0
AK-02,12:61:00,12:61:00,dreded-pahlawan,61,,,,,0
AK-02,12:62:00,12:62:00,pahlawan-ggaut,62,,,,,0
AK-02,12:63:00,12:63:00,pahlawan-3,63,,,,,0
AK-02,12:64:00,12:64:00,pahlawan-4,64,,,,,0
AK-02,12:65:00,12:65:00,pahlawan-empang,65,,,,,0
AK-02,12:66:00,12:66:00,halte-empang,66,,,,,0
AK-02,12:67:00,12:67:00,btm-3,67,,,,,0
AK-02,12:68:00,12:68:00,kb-btm-2,68,,,,,0
AK-03,12:00:00,12:00:00,kb-muslihat,0,,,,,0
AK-03,12:01:00,12:01:00,stasiun-paledang,1,,,,,0
AK-03,12:02:00,12:02:00,veteran-merdeka,2,,,,,0
AK-03,12:03:00,12:03:00,veteran-kemerdekaan,3,,,,,0
AK-03,12:04:00,12:04:00,veteran,4,,,,,0
AK-03,12:05:00,12:05:00,veteran-gnbatu,5,,,,,0
AK-03,12:06:00,12:06:00,gnbatu-1,6,,,,,0
AK-03,12:07:00,12:07:00,gnbatu-2,7,,,,,0
AK-03,12:08:00,12:08:00,abdullah-batu,8,,,,,0
AK-03,12:09:00,12:09:00,sind-barang-1,9,,,,,0
AK-03,12:10:00,12:10:00,sind-barang-2,10,,,,,0
AK-02,12:69:00,12:69:00,sind-barang-darulquran,69,,,,,0
AK-03,12:11:00,12:11:00,sind-barang-3,11,,,,,0
AK-03,12:12:00,12:12:00,sind-barang-4,12,,,,,0
AK-03,12:13:00,12:13:00,sind-barang-adjie,13,,,,,0
AK-03,12:14:00,12:14:00,adjie-ciampea,14,,,,,0
AK-03,12:15:00,12:15:00,bubulak,15,,,,,0
AK-03,12:16:00,12:16:00,adjie-ciampea,16,,,,,0
AK-03,12:17:00,12:17:00,sind-barang-adjie,17,,,,,0
AK-03,12:18:00,12:18:00,sind-barang-4,18,,,,,0
AK-03,12:19:00,12:19:00,sind-barang-3,19,,,,,0
AK-03,12:20:00,12:20:00,sind-barang-darulquran,20,,,,,0
AK-03,12:21:00,12:21:00,sind-barang-2,21,,,,,0
AK-03,12:22:00,12:22:00,sind-barang-1,22,,,,,0
AK-03,12:23:00,12:23:00,abdullah-batu,23,,,,,0
AK-03,12:24:00,12:24:00,gnbatu-2,24,,,,,0
