stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
kb-gedong-sawah,,kb-gedong-sawah,,-6.5945,106.7946,,,,,,2
kb-polisi-militer,,kb-polisi-militer,,-6.5930,106.7973,,,,,,2
kb-jalak-harupat,,kb-jalak-harupat,,-6.5935,106.7984,,,,,,2
kb-sempur,,kb-sempur,,-6.592262,106.800814,,,,,,2
kb-salak,,kb-salak,,-6.592667,106.801806,,,,,,2
kb-pangrango,,kb-pangrango,,-6.5935,106.8029,,,,,,2
kb-astrid,,kb-astrid,,-6.5959,106.8044,,,,,,2
kb-botani-1,,kb-botani-1,,-6.6009,106.8052,,,,,,2
kb-botani-2,,kb-botani-2,,-6.6016,106.8047,,,,,,2
kb-otista,,kb-otista,,-6.6027,106.7996,,,,,,2
kb-suryakencana,,kb-suryakencana,,-6.6031,106.7988,,,,,,2
suryakencana-1,,suryakencana-1,,-6.6048,106.7997,,,,,,2
suryakencana-2,,suryakencana-2,,-6.6082,106.8025,,,,,,2
siliwangi-1,,siliwangi-1,,-6.6118,106.8065,,,,,,2
siliwangi-2,,siliwangi-2,,-6.6164,106.8103,,,,,,2
siliwangi-lawanggintung,,siliwangi-lawanggintung,,-6.6201,106.8145,,,,,,2
lawanggintung-1,,lawanggintung-1,,-6.6208,106.8124,,,,,,2
lawanggintung-2,,lawanggintung-2,,-6.6235,106.8123,,,,,,2
lawanggintung-3,,lawanggintung-3,,-6.6238,106.8101,,,,,,2
lawanggintung-4,,lawanggintung-4,,-6.6246,106.8099,,,,,,2
lawanggintung-5,,lawanggintung-5,,-6.6250,106.8093,,,,,,2
lawanggintung-cipaku,,lawanggintung-cipaku,,-6.6248,106.8091,,,,,,2
cipaku-1,,cipaku-1,,-6.6251,106.8091,,,,,,2
cipaku-2,,cipaku-2,,-6.6254,106.8099,,,,,,2
cipaku-3,,cipaku-3,,-6.6259,106.8101,,,,,,2
cipaku-4,,cipaku-4,,-6.6258,106.8095,,,,,,2
cipaku-danasasmita,,cipaku-danasasmita,,-6.6260,106.8093,,,,,,2
danasasmita-1,,danasasmita-1,,-6.6264,106.8097,,,,,,2
danasasmita-diredja,,danasasmita-diredja,,-6.6277,106.8102,,,,,,2
diredja-1,,diredja-1,,-6.6280,106.8085,,,,,,2
diredja-2,,diredja-2,,-6.6286,106.8084,,,,,,2
diredja-3,,diredja-3,,-6.6283,106.8077,,,,,,2
diredja-cipinanggading,,diredja-cipinanggading,,-6.6287,106.8073,,,,,,2
cipinanggading-1,,cipinanggading-1,,-6.6271,106.8032,,,,,,2
cipinanggading-2,,cipinanggading-2,,-6.6234,106.8014,,,,,,2
cipinanggading-ranggamekar,,cipinanggading-ranggamekar,,-6.6230,106.8005,,,,,,2
ranggamekar-1,,ranggamekar-1,,-6.6220,106.8006,,,,,,2
ranggamekar-2,,ranggamekar-2,,-6.6214,106.7989,,,,,,2
cipinanggading-nirwana,,cipinanggading-nirwana,,-6.6235,106.7992,,,,,,2
nirwana-1,,nirwana-1,,-6.6226,106.7986,,,,,,2
nirwana-2,,nirwana-2,,-6.6231,106.7979,,,,,,2
nirwana-3,,nirwana-3,,-6.6213,106.7968,,,,,,2
nirwana-4,,nirwana-4,,-6.6198,106.7965,,,,,,2
nirwana-5,,nirwana-5,,-6.6178,106.7971,,,,,,2
nirwana-6,,nirwana-6,,-6.6182,106.7992,,,,,,2
nirwana-dreded,,nirwana-dreded,,-6.6179,106.7998,,,,,,2
dreded-1,,dreded-1,,-6.6155,106.8014,,,,,,2
dreded-pahlawan,,dreded-pahlawan,,-6.6142,106.8034,,,,,,2
pahlawan-ggaut,,pahlawan-ggaut,,-6.6123,106.8021,,,,,,2
pahlawan-3,,pahlawan-3,,-6.6113,106.8000,,,,,,2
pahlawan-4,,pahlawan-4,,-6.6082,106.7964,,,,,,2
pahlawan-empang,,pahlawan-empang,,-6.6077,106.7949,,,,,,2
halte-empang,,halte-empang,,-6.6060,106.7954,,,,,,2
btm-3,,btm-3,,-6.6046,106.7965,,,,,,2
kb-btm-2,,kb-btm-2,,-6.6038,106.7961,,,,,,2
kb-muslihat,,kb-muslihat,,-6.5969,106.7937,,,,,,2
stasiun-paledang,,stasiun-paledang,,-6.5959,106.7897,,,,,,2
veteran-merdeka,,veteran-merdeka,,-6.5955,106.7884,,,,,,2
veteran-kemerdekaan,,veteran-kemerdekaan,,-6.5956,106.7876,,,,,,2
kemerdekaan,,kemerdekaan,,-6.5932,106.7866,,,,,,2
merdeka,,merdeka,,-6.5931,106.7878,,,,,,2
merdeka-salamun,,merdeka-salamun,,-6.5903,106.7877,,,,,,2
salamun-oking,,salamun-oking,,-6.5906,106.7906,,,,,,2
muslihat-oking,,muslihat-oking,,-6.5958,106.7895,,,,,,2
muslihat-dewisartika,,muslihat-dewisartika,,-6.5963,106.7915,,,,,,2
dewisartika-mekah,,dewisartika-mekah,,-6.5928,106.7924,,,,,,2
mekah-gedongsawah,,mekah-gedongsawah,,-6.5927,106.7939,,,,,,2
gedongsawah-1,,gedongsawah-1,,-6.5932,106.7939,,,,,,2
gedongsawah-crossing,,gedongsawah-crossing,,-6.5938,106.7936,,,,,,2
veteran,,veteran,,-6.5953,106.7846,,,,,,2
veteran-gnbatu,,veteran-gnbatu,,-6.5944,106.7826,,,,,,2
gnbatu-1,,gnbatu-1,,-6.5963,106.7807,,,,,,2
gnbatu-2,,gnbatu-2,,-6.5961,106.7795,,,,,,2
abdullah-batu,,abdullah-batu,,-6.596113,106.779318,,,,,,2
sind-barang-1,,sind-barang-1,,-6.587779,106.772155,,,,,,2
sind-barang-2,,sind-barang-2,,-6.585932,106.771794,,,,,,2
sind-barang-darulquran,,sind-barang-darulquran,,-6.584891,106.771102,,,,,,2
sind-barang-3,,sind-barang-3,,-6.580286,106.767319,,,,,,2
sind-barang-4,,sind-barang-4,,-6.580519,106.763566,,,,,,2
sind-barang-adjie,,sind-barang-adjie,,-6.576235,106.753317,,,,,,2
adjie-ciampea,,adjie-ciampea,,-6.573609,106.751377,,,,,,2
bubulak,,bubulak,,-6.571011,106.755373,,,,,,2
batutulis-1,,batutulis-1,,-6.6245,106.8089,,,,,,2
batutulis-2,,batutulis-2,,-6.6218,106.8086,,,,,,2
batutulis-3,,batutulis-3,,-6.6215,106.8079,,,,,,2
batutulis-pahlawan,,batutulis-pahlawan,,-6.6188,106.8069,,,,,,2
pahlawan-1,,pahlawan-1,,-6.6163,106.8045,,,,,,2
salak-1,,salak-1,,-6.591937,106.802112,,,,,,2
salak-2,,salak-2,,-6.591191,106.802069,,,,,,2
salak-3,,salak-3,,-6.589918,106.801645,,,,,,2
kencana-1,,kencana-1,,-6.5893,106.8018,,,,,,2
kencana-2,,kencana-2,,-6.5888,106.8024,,,,,,2
salak-4,,salak-4,,-6.5884,106.8030,,,,,,2
salak-5,,salak-5,,-6.5883,106.8041,,,,,,2
salak-pajajaran,,salak-pajajaran,,-6.5886,106.8049,,,,,,2
pangrango-pajajaran,,pangrango-pajajaran,,-6.5922,106.8046,,,,,,2
tol-1,,tol-1,,-6.6043,106.8068,,,,,,2
tol-2,,tol-2,,-6.6017,106.8111,,,,,,2
tol-3,,tol-3,,-6.6045,106.8071,,,,,,2
pajajaran-ciheuleut,,pajajaran-ciheuleut,,-6.6078,106.8099,,,,,,2
pajajaran-michelle-bakery,,pajajaran-michelle-bakery,,-6.6087,106.8105,,,,,,2
bangka-1,,bangka-1,,-6.6066,106.8087,,,,,,2
bangka-2,,bangka-2,,-6.6069,106.8080,,,,,,2
bangka-3,,bangka-3,,-6.6065,106.8074,,,,,,2
bangka-5,,bangka-5,,-6.6066,106.8067,,,,,,2
bangka-6,,bangka-6,,-6.6052,106.8058,,,,,,2
bangka-7,,bangka-7,,-6.6052,106.8051,,,,,,2
bangka-8,,bangka-8,,-6.6017,106.8043,,,,,,2
cincau-kb,,cincau-kb,,-6.603941,106.797256,,,,,,2
kb-btm-1,,kb-btm-1,,-6.6042,106.7967,,,,,,2
ggaut-1,,ggaut-1,,-6.611545,106.802443,,,,,,2
ggaut-2,,ggaut-2,,-6.611507,106.802825,,,,,,2
ggaut-padasuka,,ggaut-padasuka,,-6.610316,106.803897,,,,,,2
padasuka-1,,padasuka-1,,-6.608503,106.801231,,,,,,2
padasuka-cincau,,padasuka-cincau,,-6.608035,106.801313,,,,,,2
cincau-1,,cincau-1,,-6.608060,106.800503,,,,,,2
cincau-2,,cincau-2,,-6.606850,106.798991,,,,,,2
raya-cipaku-1,,raya-cipaku-1,,-6.629086,106.809948,,,,,,2
raya-cipaku-2,,raya-cipaku-2,,-6.630150,106.810484,,,,,,2
raya-cipaku-3,,raya-cipaku-3,,-6.632298,106.812430,,,,,,2
raya-cipaku-4,,raya-cipaku-4,,-6.636592,106.813447,,,,,,2
