trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
AK-01,12:00:00,12:00:00,gedongsawah-crossing,0,,,,,0
AK-01,12:01:00,12:01:00,kb-gedong-sawah,1,,,,,0
AK-01,12:02:00,12:02:00,kb-polisi-militer,2,,,,,0
AK-01,12:03:00,12:03:00,kb-jalak-harupat,3,,,,,0
AK-01,12:04:00,12:04:00,kb-sempur,4,,,,,0
AK-01,12:05:00,12:05:00,kb-salak,5,,,,,0
AK-01,12:06:00,12:06:00,kb-pangrango,6,,,,,0
AK-01,12:07:00,12:07:00,kb-astrid,7,,,,,0
AK-01,12:08:00,12:08:00,kb-botani-1,8,,,,,0
AK-01,12:09:00,12:09:00,kb-botani-2,9,,,,,0
AK-01,12:10:00,12:10:00,kb-otista,10,,,,,0
AK-01,12:11:00,12:11:00,kb-suryakencana,11,,,,,0
AK-01,12:12:00,12:12:00,suryakencana-1,12,,,,,0
AK-01,12:13:00,12:13:00,suryakencana-2,13,,,,,0
AK-01,12:14:00,12:14:00,siliwangi-1,14,,,,,0
AK-01,12:15:00,12:15:00,siliwangi-2,15,,,,,0
AK-01,12:16:00,12:16:00,siliwangi-lawanggintung,16,,,,,0
AK-01,12:17:00,12:17:00,lawanggintung-1,17,,,,,0
AK-01,12:18:00,12:18:00,lawanggintung-2,18,,,,,0
AK-01,12:19:00,12:19:00,lawanggintung-3,19,,,,,0
AK-01,12:20:00,12:20:00,lawanggintung-4,20,,,,,0
AK-01,12:21:00,12:21:00,lawanggintung-5,21,,,,,0
AK-01,12:22:00,12:22:00,lawanggintung-cipaku,22,,,,,0
AK-01,12:23:00,12:23:00,cipaku-1,23,,,,,0
AK-01,12:24:00,12:24:00,cipaku-2,24,,,,,0
AK-01,12:25:00,12:25:00,cipaku-3,25,,,,,0
AK-01,12:26:00,12:26:00,cipaku-4,26,,,,,0
AK-01,12:27:00,12:27:00,cipaku-danasasmita,27,,,,,0
AK-01,12:28:00,12:28:00,danasasmita-1,28,,,,,0
AK-01,12:29:00,12:29:00,danasasmita-diredja,29,,,,,0
AK-01,12:30:00,12:30:00,diredja-1,30,,,,,0
AK-01,12:31:00,12:31:00,diredja-2,31,,,,,0
AK-01,12:32:00,12:32:00,diredja-3,32,,,,,0
AK-01,12:33:00,12:33:00,diredja-cipinanggading,33,,,,,0
