stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
kb-btm-2,kb-btm-2,-6.6038,106.7961,2
kb-muslihat,kb-muslihat,-6.5969,106.7937,2
stasiun-paledang,stasiun-paledang,-6.5959,106.7897,2
veteran-merdeka,veteran-merdeka,-6.5955,106.7884,2
veteran-kemerdekaan,veteran-kemerdekaan,-6.5956,106.7876,2
veteran,veteran,-6.5953,106.7846,2
veteran-gnbatu,veteran-gnbatu,-6.5944,106.7826,2
gnbatu-1,gnbatu-1,-6.5963,106.7807,2
gnbatu-2,gnbatu-2,-6.5961,106.7795,2
gnbatu-3,gnbatu-3,-6.5878,106.7721,2
kemerdekaan,kemerdekaan,-6.5932,106.7866,2
merdeka,merdeka,-6.5931,106.7878,2
kb-gedong-sawah,kb-gedong-sawah,-6.5945,106.7946,2
kb-polisi-militer,kb-polisi-militer,-6.5930,106.7973,2
kb-jalak-harupat,kb-jalak-harupat,-6.5935,106.7984,2
kb-sempur,kb-sempur,-6.5922,106.8009,2
kb-salak,kb-salak,-6.5926,106.8018,2
kb-pangrango,kb-pangrango,-6.5935,106.8029,2
kb-astrid,kb-astrid,-6.5959,106.8044,2
kb-botani-1,kb-botani-1,-6.6009,106.8052,2
kb-botani-2,kb-botani-2,-6.6016,106.8047,2
kb-otista,kb-otista,-6.6027,106.7996,2
kb-suryakencana,kb-suryakencana,-6.6031,106.7988,2
suryakencana-1,suryakencana-1,-6.6048,106.7997,2
suryakencana-2,suryakencana-2,-6.6082,106.8025,2
siliwangi-1,siliwangi-1,-6.6118,106.8065,2
siliwangi-2,siliwangi-2,-6.6164,106.8103,2
siliwangi-3,siliwangi-3,-6.6201,106.8145,2
lawanggintung-1,lawanggintung-1,-6.6208,106.8124,2
lawanggintung-2,lawanggintung-2,-6.6235,106.8123,2
lawanggintung-3,lawanggintung-3,-6.6238,106.8101,2
lawanggintung-4,lawanggintung-4,-6.6246,106.8099,2
lawanggintung-5,lawanggintung-5,-6.6250,106.8093,2
batutulis-1,batutulis-1,-6.6245,106.8089,2
batutulis-2,batutulis-2,-6.6218,106.8086,2
batutulis-3,batutulis-3,-6.6215,106.8079,2
batutulis-pahlawan,batutulis-pahlawan,-6.6188,106.8069,2
pahlawan-1,pahlawan-1,-6.6163,106.8045,2
pahlawan-empang,pahlawan-empang,-6.6077,106.7949,2
halte-empang,halte-empang,-6.6060,106.7954,2
btm-3,btm-3,-6.6046,106.7965,2
salak-1,salak-1,-6.5919,106.8021,2
salak-2,salak-2,-6.5912,106.8021,2
salak-3,salak-3,-6.5900,106.8016,2
kencana-1,kencana-1,-6.5893,106.8018,2
kencana-2,kencana-2,-6.5888,106.8024,2
salak-4,salak-4,-6.5884,106.8030,2
salak-5,salak-5,-6.5883,106.8041,2
salak-pajajaran,salak-pajajaran,-6.5886,106.8049,2
pangrango-pajajaran,pangrango-pajajaran,-6.5922,106.8046,2
tol-1,tol-1,-6.6043,106.8068,2
tol-2,tol-2,-6.6017,106.8111,2
tol-3,tol-3,-6.6045,106.8071,2
pajajaran-ciheuleut,pajajaran-ciheuleut,-6.6078,106.8099,2
pajajaran-michelle-bakery,pajajaran-michelle-bakery,-6.6087,106.8105,2
bangka-1,bangka-1,-6.6066,106.8087,2
bangka-2,bangka-2,-6.6069,106.8080,2
bangka-3,bangka-3,-6.6065,106.8074,2
bangka-4,bangka-4,-6.6066,106.8087,2
bangka-5,bangka-5,-6.6066,106.8067,2
bangka-6,bangka-6,-6.6052,106.8058,2
bangka-7,bangka-7,-6.6052,106.8051,2
bangka-8,bangka-8,-6.6017,106.8043,2
kb-btm-1,kb-btm-1,-6.6042,106.7967,2
ll_-6.592210_106.804816,ll_-6.592210_106.804816,-6.592210,106.804816,2
ll_-6.593040_106.804848,ll_-6.593040_106.804848,-6.593040,106.804848,2
ll_-6.595778_106.804439,ll_-6.595778_106.804439,-6.595778,106.804439,2
ll_-6.601056_106.805301,ll_-6.601056_106.805301,-6.601056,106.805301,2
ll_-6.601614_106.804701,ll_-6.601614_106.804701,-6.601614,106.804701,2
ll_-6.603173_106.798398,ll_-6.603173_106.798398,-6.603173,106.798398,2
ll_-6.604250_106.796548,ll_-6.604250_106.796548,-6.604250,106.796548,2
ll_-6.603249_106.795757,ll_-6.603249_106.795757,-6.603249,106.795757,2
ll_-6.597242_106.793754,ll_-6.597242_106.793754,-6.597242,106.793754,2
ll_-6.594618_106.794519,ll_-6.594618_106.794519,-6.594618,106.794519,2
ll_-6.592945_106.797237,ll_-6.592945_106.797237,-6.592945,106.797237,2
ll_-6.593452_106.798181,ll_-6.593452_106.798181,-6.593452,106.798181,2
ll_-6.592273_106.800835,ll_-6.592273_106.800835,-6.592273,106.800835,2
ll_-6.593503_106.802991,ll_-6.593503_106.802991,-6.593503,106.802991,2
ll_-6.592210_106.804267,ll_-6.592210_106.804267,-6.592210,106.804267,2
ll_-6.592134_106.805696,ll_-6.592134_106.805696,-6.592134,106.805696,2
ll_-6.591272_106.805734,ll_-6.591272_106.805734,-6.591272,106.805734,2
ll_-6.591259_106.808235,ll_-6.591259_106.808235,-6.591259,106.808235,2
ll_-6.591665_106.808631,ll_-6.591665_106.808631,-6.591665,106.808631,2
ll_-6.591868_106.814436,ll_-6.591868_106.814436,-6.591868,106.814436,2
ll_-6.591487_106.815571,ll_-6.591487_106.815571,-6.591487,106.815571,2
ll_-6.590866_106.816018,ll_-6.590866_106.816018,-6.590866,106.816018,2
ll_-6.590765_106.816630,ll_-6.590765_106.816630,-6.590765,106.816630,2
ll_-6.587305_106.816260,ll_-6.587305_106.816260,-6.587305,106.816260,2
ll_-6.590765_106.816886,ll_-6.590765_106.816886,-6.590765,106.816886,2
ll_-6.590271_106.818506,ll_-6.590271_106.818506,-6.590271,106.818506,2
ll_-6.589333_106.818532,ll_-6.589333_106.818532,-6.589333,106.818532,2
ll_-6.589960_106.835584,ll_-6.589960_106.835584,-6.589960,106.835584,2
ll_-6.588997_106.836451,ll_-6.588997_106.836451,-6.588997,106.836451,2
